Week,Sku,Sales
09/04/2018,sku01,7640
16/04/2018,sku01,760
23/04/2018,sku01,1060
30/04/2018,sku01,10600
07/05/2018,sku01,1180
14/05/2018,sku01,38040
21/05/2018,sku01,1740
28/05/2018,sku01,15740
04/06/2018,sku01,1020
11/06/2018,sku01,700
18/06/2018,sku01,38980
25/06/2018,sku01,3820
02/07/2018,sku01,100
09/07/2018,sku01,20180
16/07/2018,sku01,56640
23/07/2018,sku01,61940
30/07/2018,sku01,38780
06/08/2018,sku01,18480
13/08/2018,sku01,19060
20/08/2018,sku01,76720
27/08/2018,sku01,65620
03/09/2018,sku01,58440
10/09/2018,sku01,37060
17/09/2018,sku01,20720
24/09/2018,sku01,20400
01/10/2018,sku01,76720
08/10/2018,sku01,73980
15/10/2018,sku01,48220
22/10/2018,sku01,80180
29/10/2018,sku01,20000
05/11/2018,sku01,56560
12/11/2018,sku01,60960
19/11/2018,sku01,18700
26/11/2018,sku01,37120
03/12/2018,sku01,57520
10/12/2018,sku01,37000
17/12/2018,sku01,500
24/12/2018,sku01,0
31/12/2018,sku01,0
07/01/2019,sku01,76820
14/01/2019,sku01,38040
21/01/2019,sku01,1160
28/01/2019,sku01,37520
04/02/2019,sku01,36960
11/02/2019,sku01,26900
18/02/2019,sku01,92500
25/02/2019,sku01,1020
04/03/2019,sku01,93620
11/03/2019,sku01,56000
18/03/2019,sku01,56140
25/03/2019,sku01,22500
01/04/2019,sku01,57960
08/04/2019,sku01,73960
15/04/2019,sku01,39840
22/04/2019,sku01,74480
29/04/2019,sku01,37000
06/05/2019,sku01,56320
13/05/2019,sku01,80200
20/05/2019,sku01,74640
27/05/2019,sku01,37020
03/06/2019,sku01,40160
10/06/2019,sku01,60900
17/06/2019,sku01,55440
24/06/2019,sku01,74540
01/07/2019,sku01,36960
08/07/2019,sku01,25340
15/07/2019,sku01,4540
22/07/2019,sku01,56000
29/07/2019,sku01,59040
05/08/2019,sku01,3720
12/08/2019,sku01,60140
19/08/2019,sku01,58240
26/08/2019,sku01,25240
02/09/2019,sku01,58500
09/09/2019,sku01,48080
16/09/2019,sku01,38760
23/09/2019,sku01,60600
30/09/2019,sku01,40060
07/10/2019,sku01,40420
14/10/2019,sku01,58720
21/10/2019,sku01,75660
28/10/2019,sku01,55640
04/11/2019,sku01,79220
11/11/2019,sku01,39200
18/11/2019,sku01,55620
25/11/2019,sku01,19260
02/12/2019,sku01,37600
09/12/2019,sku01,66680
16/12/2019,sku01,0
23/12/2019,sku01,0
30/12/2019,sku01,40
06/01/2020,sku01,18520
13/01/2020,sku01,36580
20/01/2020,sku01,37120
27/01/2020,sku01,86840
03/02/2020,sku01,37580
10/02/2020,sku01,4980
17/02/2020,sku01,18480
24/02/2020,sku01,18480
02/03/2020,sku01,92980
09/03/2020,sku01,92400
16/03/2020,sku01,58240
23/03/2020,sku01,200
30/03/2020,sku01,25760
06/04/2020,sku01,18520
13/04/2020,sku01,980
20/04/2020,sku01,0
27/04/2020,sku01,56200
04/05/2020,sku01,20760
11/05/2020,sku01,280
18/05/2020,sku01,37020
25/05/2020,sku01,19640
01/06/2020,sku01,37820
08/06/2020,sku01,19700
15/06/2020,sku01,18500
22/06/2020,sku01,36960
29/06/2020,sku01,75320
06/07/2020,sku01,56420
13/07/2020,sku01,18480
20/07/2020,sku01,18540
27/07/2020,sku01,42020
03/08/2020,sku01,57480
10/08/2020,sku01,79560
17/08/2020,sku01,55460
24/08/2020,sku01,58920
31/08/2020,sku01,71780
