Week,Sku,Sales
23/04/2018,sku03,4080
30/04/2018,sku03,5580
21/05/2018,sku03,2400
28/05/2018,sku03,13560
18/06/2018,sku03,11940
25/06/2018,sku03,7380
23/07/2018,sku03,14940
30/07/2018,sku03,12180
20/08/2018,sku03,5040
27/08/2018,sku03,19920
24/09/2018,sku03,52020
22/10/2018,sku03,26400
29/10/2018,sku03,49260
19/11/2018,sku03,8820
26/11/2018,sku03,38040
24/12/2018,sku03,2700
31/12/2018,sku03,18480
21/01/2019,sku03,11760
28/01/2019,sku03,5640
25/02/2019,sku03,19860
25/03/2019,sku03,8880
22/04/2019,sku03,16620
29/04/2019,sku03,15600
20/05/2019,sku03,36120
27/05/2019,sku03,36360
24/06/2019,sku03,13140
22/07/2019,sku03,24000
29/07/2019,sku03,26940
19/08/2019,sku03,23040
26/08/2019,sku03,23940
23/09/2019,sku03,28620
30/09/2019,sku03,15600
21/10/2019,sku03,9420
28/10/2019,sku03,8460
18/11/2019,sku03,11580
25/11/2019,sku03,13920
23/12/2019,sku03,3540
30/12/2019,sku03,6840
20/01/2020,sku03,1200
27/01/2020,sku03,8760
24/02/2020,sku03,37320
23/03/2020,sku03,54300
30/03/2020,sku03,15900
20/04/2020,sku03,5400
27/04/2020,sku03,6840
18/05/2020,sku03,4800
25/05/2020,sku03,11280
22/06/2020,sku03,26760
29/06/2020,sku03,19140
20/07/2020,sku03,18960
27/07/2020,sku03,13920
24/08/2020,sku03,17400
31/08/2020,sku03,13560
