Week,Sku,Sales
09/04/2018,sku04,320
16/04/2018,sku04,18544
07/05/2018,sku04,7440
14/05/2018,sku04,10208
04/06/2018,sku04,1680
11/06/2018,sku04,38896
02/07/2018,sku04,12112
09/07/2018,sku04,4128
16/07/2018,sku04,1680
06/08/2018,sku04,4912
13/08/2018,sku04,8400
03/09/2018,sku04,7440
10/09/2018,sku04,5744
17/09/2018,sku04,19168
01/10/2018,sku04,9408
08/10/2018,sku04,4256
15/10/2018,sku04,21280
05/11/2018,sku04,20656
12/11/2018,sku04,11280
03/12/2018,sku04,11264
10/12/2018,sku04,97584
17/12/2018,sku04,40720
07/01/2019,sku04,1840
14/01/2019,sku04,416
04/02/2019,sku04,240
11/02/2019,sku04,1296
18/02/2019,sku04,96
04/03/2019,sku04,7616
11/03/2019,sku04,14720
18/03/2019,sku04,4624
01/04/2019,sku04,13600
08/04/2019,sku04,1328
15/04/2019,sku04,13456
06/05/2019,sku04,656
13/05/2019,sku04,4848
03/06/2019,sku04,8272
10/06/2019,sku04,17936
17/06/2019,sku04,3920
01/07/2019,sku04,10400
08/07/2019,sku04,10624
15/07/2019,sku04,5888
05/08/2019,sku04,12416
12/08/2019,sku04,2976
02/09/2019,sku04,752
09/09/2019,sku04,6928
16/09/2019,sku04,34176
07/10/2019,sku04,5984
14/10/2019,sku04,11920
04/11/2019,sku04,512
11/11/2019,sku04,18992
02/12/2019,sku04,368
09/12/2019,sku04,11920
16/12/2019,sku04,33776
06/01/2020,sku04,8384
13/01/2020,sku04,37264
03/02/2020,sku04,3776
10/02/2020,sku04,3360
17/02/2020,sku04,16352
02/03/2020,sku04,352
09/03/2020,sku04,32
16/03/2020,sku04,880
06/04/2020,sku04,560
13/04/2020,sku04,10800
04/05/2020,sku04,15888
11/05/2020,sku04,15040
01/06/2020,sku04,26544
08/06/2020,sku04,0
15/06/2020,sku04,4496
06/07/2020,sku04,6720
13/07/2020,sku04,3456
03/08/2020,sku04,17360
10/08/2020,sku04,3360
17/08/2020,sku04,34480
